# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
810           	((-7.806187e+33 -5.381949e+33 -3.128537e+33) (-1.303232e+14 -8.243724e+13 -2.856895e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.243872e+34 -1.313310e+35 4.406247e+32) (2.281688e+15 -3.350109e+15 -7.295400e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
820           	((-2.005060e+34 -1.639885e+34 -7.586466e+33) (-2.089536e+14 -1.585255e+14 -4.491752e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.834769e+35 -3.423427e+35 -5.116600e+33) (4.885990e+15 -5.694656e+15 -3.374745e+14) (0.000000e+00 0.000000e+00 0.000000e+00))
830           	((-6.517676e+34 -3.689841e+34 -2.967316e+34) (-3.644879e+14 -2.352080e+14 -8.155723e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.584953e+35 -1.110758e+36 -1.877141e+34) (8.073324e+15 -1.055791e+16 -2.326538e+14) (0.000000e+00 0.000000e+00 0.000000e+00))
840           	((-1.501998e+35 -9.557572e+34 -7.632098e+34) (-5.387970e+14 -3.522360e+14 -1.571634e+15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.673415e+36 -2.562438e+36 -1.013148e+34) (1.094891e+16 -1.532918e+16 -3.561352e+14) (0.000000e+00 0.000000e+00 0.000000e+00))
850           	((-3.402868e+35 -2.053126e+35 -1.582924e+35) (-8.253827e+14 -5.217822e+14 -2.596105e+15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.658605e+36 -5.962994e+36 -9.299626e+34) (1.713359e+16 -2.212559e+16 -5.712263e+14) (0.000000e+00 0.000000e+00 0.000000e+00))
860           	((-1.181173e+36 -4.857831e+35 -5.553748e+35) (-1.502767e+15 -7.949141e+14 -4.253761e+15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.539777e+36 -2.000300e+37 -2.901868e+35) (2.760647e+16 -4.072524e+16 -1.885412e+15) (0.000000e+00 0.000000e+00 0.000000e+00))
870           	((-2.989187e+36 -1.709562e+36 -1.627572e+36) (-2.478685e+15 -1.296445e+15 -7.903387e+15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.960228e+37 -4.965192e+37 -1.422112e+36) (4.790385e+16 -6.919738e+16 -2.313680e+15) (0.000000e+00 0.000000e+00 0.000000e+00))
880           	((-9.399002e+36 -7.589385e+36 -4.376936e+36) (-4.131341e+15 -2.796754e+15 -1.325245e+16) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.269756e+38 -1.550841e+38 -7.180156e+35) (9.438282e+16 -1.103306e+17 -3.980606e+15) (0.000000e+00 0.000000e+00 0.000000e+00))
890           	((-2.406697e+37 -1.621336e+37 -1.109895e+37) (-7.009849e+15 -5.440029e+15 -2.075902e+16) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.005972e+38 -4.167337e+38 -2.586408e+37) (1.752207e+17 -1.863711e+17 -3.775878e+15) (0.000000e+00 0.000000e+00 0.000000e+00))
900           	((-7.631190e+37 -4.840933e+37 -1.900947e+37) (-1.256571e+16 -8.020344e+15 -2.712967e+16) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.400027e+38 -1.250359e+39 2.456857e+37) (2.773885e+17 -3.325870e+17 -2.803741e+15) (0.000000e+00 0.000000e+00 0.000000e+00))
