# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
460           	((7.532534e+19 1.264676e+19 -8.517819e+18) (1.344224e+07 -3.210747e+06 -5.970024e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.260282e+20 1.257125e+21 -5.159534e+18) (8.769847e+07 4.411601e+08 -1.724980e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
470           	((3.163755e+20 9.402253e+19 -9.580839e+19) (3.179658e+07 4.599810e+06 -4.401586e+07) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.659939e+21 5.206481e+21 -3.562190e+20) (-2.387708e+08 9.961599e+08 -3.057990e+07) (0.000000e+00 0.000000e+00 0.000000e+00))
480           	((1.750982e+21 7.823805e+20 -5.185180e+20) (7.166076e+07 2.402465e+07 -1.150198e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.394665e+22 2.878800e+22 -1.769110e+21) (-1.030792e+09 2.043594e+09 -9.084015e+07) (0.000000e+00 0.000000e+00 0.000000e+00))
490           	((7.572801e+21 4.776032e+21 -1.563396e+21) (1.323298e+08 7.332256e+07 -1.445437e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.005885e+22 1.199045e+23 -8.948344e+21) (-3.091132e+09 3.216508e+09 -3.401584e+08) (0.000000e+00 0.000000e+00 0.000000e+00))
500           	((7.133440e+22 2.897156e+22 -1.969376e+22) (4.222819e+08 2.090120e+08 -5.146387e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.938643e+23 1.134366e+24 -1.722404e+22) (-7.802815e+09 1.122029e+10 -7.162517e+08) (0.000000e+00 0.000000e+00 0.000000e+00))
510           	((2.772519e+23 1.304714e+23 -4.942640e+22) (9.243694e+08 3.968424e+08 -9.120207e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.216562e+24 4.382432e+24 -1.846947e+22) (-1.313877e+10 2.326022e+10 2.024943e+08) (0.000000e+00 0.000000e+00 0.000000e+00))
520           	((2.956863e+24 1.408608e+24 -5.450339e+23) (2.855088e+09 1.275415e+09 -2.632617e+09) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.345818e+25 4.611595e+25 -7.157127e+22) (-4.398261e+10 6.889256e+10 -1.649716e+09) (0.000000e+00 0.000000e+00 0.000000e+00))
530           	((2.177751e+25 1.299148e+25 -5.238740e+24) (7.832104e+09 3.924610e+09 -7.008569e+09) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.247268e+26 3.550043e+26 -4.151817e+24) (-1.506019e+11 2.172275e+11 -1.129941e+10) (0.000000e+00 0.000000e+00 0.000000e+00))
540           	((1.743124e+26 1.117087e+26 -2.845748e+25) (2.110599e+10 1.137895e+10 -1.969146e+10) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.906808e+27 2.679329e+27 6.389869e+24) (-4.652887e+11 5.519102e+11 -4.308896e+10) (0.000000e+00 0.000000e+00 0.000000e+00))
550           	((1.797159e+27 8.462313e+26 -5.582648e+26) (6.268543e+10 3.413524e+10 -7.227866e+10) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.513872e+28 2.946979e+28 -1.092306e+27) (-1.526228e+12 1.863993e+12 -1.970238e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
